product_id,product_name,category,price,cost,stock_quantity
84,Tennis Racket - Model 841,Sports,191.39,98.01,449.0
85,Puzzle - Model 197,Toys,45.04,27.09,378.0
86,Basketball - Model 548,Sports,129.42,54.93,221.0
87,Coffee Beans - Model 649,Food & Beverage,150.08,60.55,159.0
88,Lamp - Model 824,Home & Garden,256.7,115.23,427.0
89,Action Figure - Model 818,Toys,152.21,65.51,216.0
90,Jeans - Model 325,Clothing,193.13,89.28,71.0
91,Jeans - Model 461,Clothing,66.7,29.95,69.0
92,Smart Watch - Model 980,Electronics,1313.72,829.62,135.0
93,Camera - Model 946,Electronics,125.64,58.29,446.0
94,Jacket - Model 634,Clothing,106.76,60.5,197.0
95,Rug - Model 653,Home & Garden,140.2,56.37,204.0
96,T-Shirt - Model 285,Clothing,142.74,95.85,403.0
97,Rug - Model 335,Home & Garden,19.52,13.18,198.0
98,Action Figure - Model 602,Toys,134.5,80.99,86.0
99,T-Shirt - Model 149,Clothing,117.56,76.35,32.0
100,T-Shirt - Model 234,Clothing,138.44,91.24,363.0
101,Basketball - Model 326,Sports,254.69,116.83,93.0
102,Puzzle - Model 863,Toys,179.28,99.03,253.0
103,Blender - Model 254,Home & Garden,134.47,62.71,404.0
104,Self-Help Book - Model 668,Books,184.01,109.93,258.0
105,T-Shirt - Model 820,Clothing,178.07,91.9,
106,Face Mask - Model 395,Beauty,24.04,12.21,176.0
107,Blender - Model 872,Home & Garden,28.88,11.98,111.0
108,Moisturizer - Model 514,Beauty,160.47,102.03,397.0
109,Sweater - Model 887,Clothing,179.64,72.57,130.0
110,Moisturizer - Model 818,Beauty,264.17,111.64,312.0
111,Coffee Beans - Model 923,Food & Beverage,84.43,53.39,430.0
112,Running Shoes - Model 433,Sports,133.21,63.82,289.0
113,Action Figure - Model 111,Toys,247.87,143.07,415.0
114,LEGO Set - Model 947,Toys,20.07,8.82,483.0
115,Snack Box - Model 542,Food & Beverage,108.74,62.88,112.0
116,LEGO Set - Model 598,Toys,199.62,95.29,311.0
117,Fiction Novel - Model 781,Books,98.46,57.66,8.0
118,Technical Manual - Model 980,Books,114.14,79.79,226.0
119,Shampoo - Model 295,Beauty,101.7,61.26,321.0
120,Biography - Model 499,Books,127.81,74.31,449.0
121,Board Game - Model 500,Toys,23.02,15.69,495.0
122,Biography - Model 745,Books,50.31,26.17,240.0
123,Biography - Model 427,Books,268.14,154.11,7.0
124,Rug - Model 723,Home & Garden,122.35,78.55,490.0
125,Moisturizer - Model 499,Beauty,45.08,23.27,393.0
126,Perfume - Model 294,Beauty,12.28,6.05,267.0
127,Coffee Maker - Model 509,Home & Garden,244.29,161.92,304.0
128,Perfume - Model 227,Beauty,198.64,103.04,193.0
129,Plant Pot - Model 941,Home & Garden,226.34,136.97,22.0
130,Blender - Model 941,Home & Garden,270.09,183.78,487.0
131,Vacuum - Model 251,Home & Garden,35.15,17.46,140.0
132,Vacuum - Model 449,Home & Garden,108.66,70.45,199.0
133,Laptop - Model 863,Electronics,805.45,524.41,428.0
134,Technical Manual - Model 164,Books,123.24,66.03,55.0
135,Action Figure - Model 253,Toys,108.45,43.65,184.0
136,Running Shoes - Model 189,Sports,67.77,30.94,60.0
137,Self-Help Book - Model 117,Books,276.38,137.86,491.0
138,Running Shoes - Model 348,Sports,202.53,90.09,371.0
139,T-Shirt - Model 250,Clothing,126.84,85.8,296.0
140,Self-Help Book - Model 331,Books,267.84,165.43,405.0
141,Fiction Novel - Model 131,Books,91.5,58.76,275.0
142,Chocolate - Model 811,Food & Beverage,74.51,50.08,439.0
143,Tennis Racket - Model 593,Sports,264.03,152.48,278.0
144,Rug - Model 146,Home & Garden,263.42,165.14,49.0
145,Jacket - Model 250,Clothing,187.15,87.67,111.0
146,Chocolate - Model 986,Food & Beverage,282.69,170.87,381.0
147,Sneakers - Model 115,Clothing,35.17,24.2,411.0
148,Shampoo - Model 266,Beauty,259.84,179.82,176.0
149,Chocolate - Model 872,Food & Beverage,233.98,150.14,415.0
150,Running Shoes - Model 584,Sports,114.87,61.51,144.0
151,Board Game - Model 885,Toys,130.93,79.96,257.0
152,Vacuum - Model 605,Home & Garden,227.21,147.05,76.0
153,Puzzle - Model 290,Toys,95.67,41.95,164.0
154,Running Shoes - Model 577,Sports,43.86,30.31,347.0
155,Lamp - Model 147,Home & Garden,17.32,12.05,128.0
156,Puzzle - Model 853,Toys,76.82,42.88,261.0
157,Tea Set - Model 368,Food & Beverage,12.06,6.42,242.0
158,Perfume - Model 825,Beauty,275.37,113.8,65.0
159,Snack Box - Model 813,Food & Beverage,103.08,66.83,228.0
160,Sweater - Model 156,Clothing,138.05,81.14,160.0
161,Yoga Mat - Model 941,Sports,208.36,96.79,466.0
162,Face Mask - Model 294,Beauty,114.37,49.27,397.0
163,Plant Pot - Model 772,Home & Garden,47.23,28.17,246.0
164,Fiction Novel - Model 369,Books,84.51,39.38,325.0
165,T-Shirt - Model 183,Clothing,163.97,79.23,146.0
166,Board Game - Model 988,Toys,181.36,105.05,476.0
167,Self-Help Book - Model 419,Books,215.27,103.62,104.0
168,Yoga Mat - Model 727,Sports,182.6,119.61,49.0
169,Sweater - Model 332,Clothing,172.49,80.75,124.0
170,Technical Manual - Model 268,Books,280.52,164.57,431.0
171,Coffee Beans - Model 868,Food & Beverage,36.75,15.2,105.0
172,Cookbook - Model 714,Books,95.4,55.32,186.0
173,LEGO Set - Model 741,Toys,217.91,91.66,271.0
174,Jacket - Model 154,Clothing,109.67,75.06,476.0
175,Blender - Model 704,Home & Garden,116.24,51.85,310.0
176,Cookbook - Model 324,Books,142.34,78.93,251.0
177,Technical Manual - Model 315,Books,261.57,121.45,82.0
178,Vacuum - Model 716,Home & Garden,76.44,37.95,285.0
179,Headphones - Model 561,Electronics,69.98,32.33,60.0
180,Technical Manual - Model 505,Books,73.32,41.55,158.0
181,Spice Kit - Model 608,Food & Beverage,219.69,104.74,235.0
182,Smartphone - Model 520,Electronics,633.9,417.04,390.0
183,Doll - Model 788,Toys,13.63,9.41,193.0
184,Vacuum - Model 662,Home & Garden,257.89,169.11,61.0
185,Rug - Model 230,Home & Garden,197.06,85.97,424.0
186,Basketball - Model 650,Sports,130.45,58.64,284.0
187,Biography - Model 367,Books,48.76,29.87,110.0
188,Dumbbells - Model 406,Sports,256.64,158.24,184.0
189,Face Mask - Model 878,Beauty,58.17,23.91,205.0
190,Perfume - Model 379,Beauty,19.41,10.93,118.0
191,Jeans - Model 769,Clothing,52.44,35.36,105.0
192,LEGO Set - Model 383,Toys,245.3,140.68,287.0
193,T-Shirt - Model 773,Clothing,193.82,95.51,440.0
194,Lipstick - Model 367,Beauty,38.44,17.47,14.0
195,Shampoo - Model 798,Beauty,145.63,62.11,387.0
196,Tablet - Model 843,Electronics,860.71,586.48,404.0
197,Lipstick - Model 641,Beauty,191.52,82.06,352.0
198,Lipstick - Model 470,Beauty,178.02,110.63,419.0
199,LEGO Set - Model 270,Toys,280.29,118.28,126.0
200,Chocolate - Model 206,Food & Beverage,228.86,105.86,436.0
